1,1,11,2,,in,1,200,out,1,108
2,2,1,2,,,2,25,,2,20
3,3,2,0,,,3,86,,3,119
4,4,0,0,,,4,0,,4,4
5,5,0,2,,,5,111,,5,68
6,6,0,0,,,6,50,,6,21
7,7,0,0,,,7,12,,7,24
8,8,9,10,,,8,351,,8,470
9,9,7,1,,,9,278,,9,217
10,10,3,0,,,10,268,,10,196
11,11,0,15,,,11,157,,11,551
12,12,2,2,,,12,133,,12,141
13,13,7,1,,,13,284,,13,223
14,14,3,5,,,14,376,,14,396
15,15,3,1,,,15,59,,15,84
16,16,1,2,,,16,77,,16,35
17,17,1,4,,,17,63,,17,61
18,18,2,0,,,18,122,,18,106
19,19,0,0,,,19,86,,19,83
20,1,3,2,,,,,,,
21,2,3,0,,,,,,,
22,3,1,1,,,,,,,
23,4,0,0,,,,,,,
24,5,3,0,,,,,,,
25,6,0,1,,,,,,,
26,7,0,0,,,,,,,
27,8,12,14,,,,,,,
28,9,2,5,,,,,,,
29,10,4,5,,,,,,,
30,11,5,11,,,,,,,
31,12,2,3,,,,,,,
32,13,6,5,,,,,,,
33,14,6,6,,,,,,,
34,15,0,0,,,,,,,
35,16,1,0,,,,,,,
36,17,0,2,,,,,,,
37,18,0,1,,,,,,,
38,19,1,1,,,,,,,
39,1,5,2,,,,,,,
40,2,0,0,,,,,,,
41,3,0,3,,,,,,,
42,4,0,0,,,,,,,
43,5,0,2,,,,,,,
44,6,3,2,,,,,,,
45,7,0,0,,,,,,,
46,8,5,11,,,,,,,
47,9,1,5,,,,,,,
48,10,7,5,,,,,,,
49,11,2,21,,,,,,,
50,12,2,6,,,,,,,
51,13,5,2,,,,,,,
52,14,7,3,,,,,,,
53,15,0,2,,,,,,,
54,16,1,0,,,,,,,
55,17,0,1,,,,,,,
56,18,2,1,,,,,,,
57,19,0,2,,,,,,,
58,1,5,3,,,,,,,
59,2,1,1,,,,,,,
60,3,0,0,,,,,,,
61,4,0,0,,,,,,,
62,5,6,2,,,,,,,
63,6,0,0,,,,,,,
64,7,0,1,,,,,,,
65,8,3,6,,,,,,,
66,9,8,4,,,,,,,
67,10,4,1,,,,,,,
68,11,0,11,,,,,,,
69,12,2,1,,,,,,,
70,13,0,0,,,,,,,
71,14,7,4,,,,,,,
72,15,3,0,,,,,,,
73,16,0,0,,,,,,,
74,17,1,0,,,,,,,
75,18,1,0,,,,,,,
76,19,0,1,,,,,,,
77,1,1,1,,,,,,,
78,2,0,0,,,,,,,
79,3,2,1,,,,,,,
80,4,0,0,,,,,,,
81,5,3,2,,,,,,,
82,6,1,0,,,,,,,
83,7,0,2,,,,,,,
84,8,3,15,,,,,,,
85,9,0,7,,,,,,,
86,10,8,1,,,,,,,
87,11,0,15,,,,,,,
88,12,2,1,,,,,,,
89,13,1,1,,,,,,,
90,14,9,2,,,,,,,
91,15,0,0,,,,,,,
92,16,3,0,,,,,,,
93,17,0,1,,,,,,,
94,18,3,1,,,,,,,
95,19,0,3,,,,,,,
96,1,7,0,,,,,,,
97,2,0,0,,,,,,,
98,3,1,3,,,,,,,
99,4,0,0,,,,,,,
100,5,1,0,,,,,,,
101,6,6,0,,,,,,,
102,7,0,0,,,,,,,
103,8,2,2,,,,,,,
104,9,3,0,,,,,,,
105,10,9,0,,,,,,,
106,11,0,9,,,,,,,
107,12,2,1,,,,,,,
108,13,4,2,,,,,,,
109,14,3,9,,,,,,,
110,15,0,0,,,,,,,
111,16,1,0,,,,,,,
112,17,0,3,,,,,,,
113,18,4,1,,,,,,,
114,19,1,0,,,,,,,
115,1,4,0,,,,,,,
