0,100.00%
10,99.48%
20,98.94%
30,98.42%
40,97.90%
50,97.37%
60,96.88%
70,96.36%
80,95.86%
90,95.37%
100,94.87%
110,94.39%
120,93.91%
130,93.44%
140,92.97%
150,92.50%
160,92.03%
170,91.57%
180,91.12%
190,90.68%
200,90.24%
